"Time","Username","Entry"
2021-05-31 09:54:36,"admin","Downloaded Historic Data"
2021-05-31 09:48:16,"admin","Logged In"
2021-05-30 23:00:46,"npcc","Logged In"
2021-05-30 22:59:00,"npcc","Logged In"
2021-05-30 22:57:45,"npcc","Logged In"
2021-05-30 22:56:31,"npcc","Logged In"
2021-05-30 22:55:27,"npcc","Downloaded DISCOs Forecast"
2021-05-30 22:55:04,"npcc","Downloaded Forecast"
2021-05-30 22:53:46,"npcc","Downloaded Forecast"
2021-05-30 22:52:33,"npcc","Uploaded New Data"
2021-05-30 22:49:43,"npcc","Logged In"
2021-05-30 10:10:24,"admin","Logged In"
2021-05-29 21:27:56,"npcc","Downloaded DISCOs Forecast"
2021-05-29 21:27:15,"npcc","Downloaded DISCOs Forecast"
2021-05-29 21:27:06,"npcc","Downloaded Forecast"
2021-05-29 21:26:25,"npcc","Downloaded Forecast"
2021-05-29 21:22:57,"npcc","Uploaded New Data"
2021-05-29 21:17:50,"npcc","Logged In"
2021-05-29 21:17:26,"npcc","Tried to log In with password ohmslaws1234"
2021-05-29 21:02:55,"admin","Logged In"
2021-05-28 16:20:43,"npcc","Downloaded Performance Data"
2021-05-28 16:19:55,"npcc","Logged In"
2021-05-28 16:01:05,"npcc","Downloaded DISCOs Forecast"
2021-05-28 16:00:28,"npcc","Downloaded DISCOs Forecast"
2021-05-28 16:00:13,"npcc","Downloaded Forecast"
2021-05-28 15:59:37,"npcc","Downloaded Forecast"
2021-05-28 15:58:59,"npcc","Uploaded New Data"
2021-05-28 15:55:59,"npcc","Logged In"
2021-05-28 13:13:25,"admin","Logged In"
2021-05-28 10:36:45,"admin","Logged In"
2021-05-27 12:31:41,"admin","Logged In"
2021-05-27 11:12:14,"admin","Downloaded Historic Data"
2021-05-27 11:09:47,"admin","Logged In"
2021-05-27 10:14:58,"npcc","Downloaded DISCOs Forecast"
2021-05-27 10:14:19,"npcc","Downloaded DISCOs Forecast"
2021-05-27 10:13:16,"npcc","Downloaded Forecast"
2021-05-27 10:12:53,"npcc","Downloaded Forecast"
2021-05-27 10:12:23,"npcc","Uploaded New Data"
2021-05-27 10:07:56,"npcc","Logged In"
2021-05-26 17:56:28,"admin","Logged In"
2021-05-26 10:55:41,"npcc","Downloaded Performance Data"
2021-05-26 10:55:26,"admin","Logged In"
2021-05-26 10:55:12,"npcc","Logged In"
