"Time","LESCO","MEPCO","FESCO","QESCO","PESCO","GEPCO","HESCO","SEPCO","IESCO","TESCO"
"2021-03-15 00:00:00",1868.72731816631,1625.67255907472,1299.73377204891,481.372950666032,905.042853525423,842.404818076585,555.599139437614,285.458201460066,775.928459476238,99.691203173492
"2021-03-15 01:00:00",1789.932566986,1573.96839270532,1260.00332651976,456.610095813904,870.874486612215,808.13969626834,560.588232394345,269.692830985078,759.832353024889,99.691203173492
"2021-03-15 02:00:00",1761.97384554074,1533.86034074395,1237.7652331823,422.211055753132,894.040341555681,785.70391029356,591.144498176225,272.130567687462,708.20630244085,102.181443949634
"2021-03-15 03:00:00",1739.7759314241,1507.75816948822,1222.7091410821,412.57377984884,906.094938271214,782.134987085194,565.110192936739,251.578975688602,724.219687449062,98.243492597632
"2021-03-15 04:00:00",1732.9758271336,1498.79477032601,1219.11295938009,413.860943225626,836.458022128348,776.83490293905,515.964469364904,217.041865335873,725.781356215978,92.6934392709036
"2021-03-15 05:00:00",1803.76272260662,1556.86351774927,1251.9180184911,412.665224514599,989.787940161831,828.313717500525,467.663482092441,213.4280716648,790.938304898194,94.3322795717165
"2021-03-15 06:00:00",1985.30553379609,1805.2617339466,1338.75198686303,414.783340610823,1110.66035186496,933.812526751713,399.069499076508,213.825730072631,917.053445804066,105.936845173005
"2021-03-15 07:00:00",2160.34200683728,1954.68607579912,1394.96183589175,415.30295164466,1108.25720719981,984.396881328763,462.453698771912,213.23440784832,1000.5789510441,101.973515908082
"2021-03-15 08:00:00",2287.55167573617,1980.61511474996,1410.62084188038,429.399196032729,1173.80726375762,1015.93276448382,418.536087056809,237.353094777774,1062.89414175225,100.312762231833
"2021-03-15 09:00:00",2417.53161903703,2111.66017479555,1491.02381524584,437.362358833074,1225.65640471274,1107.15209834099,534.35713764774,272.671197611107,1116.19057516487,106.565085778912
"2021-03-15 10:00:00",2449.85754283428,2170.1190995828,1533.80986958001,555.208290793739,1134.99935921038,1130.87228741342,530.610189954278,249.727440317058,1108.61900222412,104.264807012981
"2021-03-15 11:00:00",2493.06718134113,2175.43108741245,1552.06129476656,604.930468037677,1225.65640471274,1153.77916009055,552.515938527184,239.527654561677,1084.13286338423,105.518389773462
"2021-03-15 12:00:00",2540.53496113515,2198.20778746485,1570.96614880864,585.764436089968,1158.68424988126,1149.86121758124,512.735690888222,250.783662181422,1066.28166904436,108.243666002004
"2021-03-15 13:00:00",2441.36749328027,2282.70440182399,1536.25900568898,578.47284083208,1068.08787819272,1141.50354180181,505.851797842264,272.400937957816,1014.37582996984,106.355597900666
"2021-03-15 14:00:00",2394.50702285631,2146.00485460898,1451.96693075723,525.021068361818,1020.63097300241,1037.45999102233,531.780012969855,288.841392224431,913.949955305114,106.984284596703
"2021-03-15 15:00:00",2437.30258826075,2069.91422602444,1454.64684439491,532.542349607839,993.771903944929,1001.87476374159,502.200820251629,255.32060099198,897.840331097669,101.973515908082
"2021-03-15 16:00:00",2447.53176718769,2064.22164238343,1428.2836974686,458.711146971213,953.202567287651,1008.12682500751,498.564711475745,222.175318646632,897.557401472215,96.5934101593145
"2021-03-15 17:00:00",2451.96607390053,2032.54002069883,1435.65881078751,432.945165125653,1034.28840880752,977.608949279154,486.185291541562,215.9041301322,927.756080126489,99.691203173492
"2021-03-15 18:00:00",2472.5549758216,1989.30864352308,1442.80869130063,455.218220734341,1084.29343347149,1042.88705414943,489.991256788023,247.891826505043,1016.2602998499,113.731953534291
"2021-03-15 19:00:00",2451.33409180052,2038.27375062123,1464.69428834038,567.622958087336,1128.6505585509,1079.57199514781,492.238709298914,306.146507772549,1057.66736109268,113.307989535174
"2021-03-15 20:00:00",2350.74836528912,1970.93764104087,1441.6916365828,561.638962323207,1141.44722829187,1023.72659000535,496.526113712905,351.675879158306,1035.51203232777,105.309273555251
"2021-03-15 21:00:00",2249.63846309191,1884.75097061744,1408.83163469203,551.648670227424,1124.63849305754,988.312085203273,535.764820934758,369.981760202046,974.851063527465,105.936845173005
"2021-03-15 22:00:00",2121.13672381501,1798.03327794487,1357.12550971875,587.960972301707,973.849006487249,914.385049132537,569.161691976687,337.389618938985,892.463655104188,107.403780872501
"2021-03-15 23:00:00",2011.80384593735,1709.23987302632,1305.34229090385,561.877754832658,1003.54890521345,861.458040595982,527.340199896088,307.362256115593,819.440357439064,105.309273555251
"2021-03-16 00:00:00",1925.03223446306,1645.23003496016,1276.39391798778,496.678149531154,906.725687343646,814.717606049545,569.877143223362,288.582530248971,757.082668268342,99.0703112066592
"2021-03-16 01:00:00",1827.19094070028,1602.77367426669,1243.15728711652,441.246246709249,855.494122136224,787.948549594752,578.471745372792,267.249062432091,729.618681459884,103.430570832025
"2021-03-16 02:00:00",1791.10587961414,1561.71595628186,1220.01202956409,426.942010988534,882.289821194813,771.167789564513,601.668481943325,262.083679375737,707.391172969058,105.309273555251
"2021-03-16 03:00:00",1762.8418080339,1537.44046336041,1211.02059357086,413.785265162304,887.644445984736,752.397390381999,569.400160645893,243.769014300625,679.879842114064,101.142545687183
"2021-03-16 04:00:00",1758.73887220689,1529.25638304876,1216.19086802588,413.177443633482,825.991449794816,752.807947478889,528.507104639057,216.930744809083,712.762158066975,94.3322795717165
"2021-03-16 05:00:00",1816.06973785263,1574.73385762338,1239.11330557827,412.549436973719,960.645381552357,796.802441892267,491.338968034693,214.202403163566,767.937204303054,98.0369731351611
"2021-03-16 06:00:00",1994.38083291628,1817.01069088141,1321.22120856781,419.329926920944,1084.61010687082,912.888146689806,405.83028486781,213.173607423105,867.567103159791,108.033583131597
